id,grade,date,teacher_id,student_id,lesson
1,8,2022/03/16,122,288,Health Care
2,6,2021/11/14,91,309,Finance
3,6,2022/01/18,123,891,Miscellaneous
4,10,2022/02/20,36,975,Health Care
5,7,2021/10/24,24,726,n/a
6,9,2021/12/06,106,875,Basic Industries
7,7,2022/05/02,87,740,Capital Goods
8,6,2022/07/31,84,665,Consumer Services
9,1,2021/10/26,129,968,Health Care
10,5,2022/09/18,128,307,n/a
11,2,2022/08/17,111,845,Health Care
12,9,2022/05/19,81,829,Transportation
13,10,2022/10/01,99,180,Basic Industries
14,9,2022/03/08,63,583,Finance
15,5,2022/08/02,122,876,Consumer Services
16,7,2022/01/17,7,468,Health Care
17,1,2022/10/17,84,108,Consumer Durables
18,6,2022/06/08,87,75,Basic Industries
19,2,2021/10/19,95,37,Technology
20,7,2022/01/22,76,519,n/a
21,2,2022/07/05,100,125,Health Care
22,5,2022/07/04,118,858,Finance
23,4,2022/02/19,134,887,Finance
24,7,2022/03/04,10,50,Finance
25,5,2022/04/13,105,398,Technology
26,4,2022/05/19,15,678,n/a
27,2,2022/09/03,112,647,n/a
28,1,2022/04/02,149,162,Health Care
29,10,2022/02/28,150,189,Energy
30,3,2022/07/22,13,868,Health Care
31,10,2021/11/15,150,350,n/a
32,6,2022/07/20,136,851,Public Utilities
33,8,2021/12/15,21,443,n/a
34,1,2022/07/19,110,140,Finance
35,5,2022/02/26,109,707,Health Care
36,6,2021/11/07,71,980,Consumer Services
37,10,2021/12/25,39,423,Health Care
38,7,2022/10/02,86,167,Public Utilities
39,6,2021/12/23,51,960,Finance
40,10,2021/12/14,93,908,Health Care
41,1,2022/01/10,141,802,Finance
42,7,2021/11/24,140,975,n/a
43,4,2022/02/02,63,71,Technology
44,1,2022/05/03,32,621,Technology
45,9,2022/07/19,4,295,Health Care
46,1,2022/05/23,31,578,n/a
47,4,2022/03/18,35,305,Finance
48,10,2022/04/09,65,122,Basic Industries
49,7,2022/02/23,114,179,Finance
50,1,2022/09/10,72,527,Capital Goods
51,5,2022/03/14,99,953,Health Care
52,6,2021/12/30,2,588,Finance
53,9,2022/02/10,51,582,Public Utilities
54,5,2022/07/06,71,331,Consumer Durables
55,9,2022/01/04,93,746,n/a
56,5,2022/08/14,1,261,Technology
57,9,2022/10/11,132,925,Capital Goods
58,2,2022/03/28,13,371,Consumer Services
59,4,2022/01/26,7,865,Public Utilities
60,10,2021/11/25,98,944,Consumer Services
61,5,2021/10/21,17,469,Transportation
62,7,2022/08/16,86,512,Capital Goods
63,4,2021/11/04,32,565,Consumer Services
64,7,2022/03/06,123,255,n/a
65,9,2022/03/05,92,670,Consumer Services
66,8,2022/03/08,12,733,n/a
67,2,2021/12/03,42,678,n/a
68,3,2021/10/20,50,566,Capital Goods
69,1,2022/07/24,56,545,n/a
70,4,2022/03/13,94,515,n/a
71,1,2022/09/30,88,910,Public Utilities
72,8,2022/05/25,127,421,Energy
73,1,2022/05/03,145,333,Consumer Services
74,8,2022/01/09,85,519,Finance
75,10,2022/05/04,42,619,Energy
76,5,2022/05/19,112,452,Public Utilities
77,6,2022/07/23,61,193,n/a
78,10,2022/08/05,44,174,Consumer Non-Durables
79,5,2022/09/11,14,587,n/a
80,4,2022/02/15,114,629,Consumer Durables
81,4,2021/10/18,141,166,Capital Goods
82,3,2021/11/17,51,706,n/a
83,4,2022/01/29,69,986,Capital Goods
84,10,2022/02/11,76,255,Consumer Services
85,10,2022/09/04,98,975,Consumer Services
86,6,2022/02/22,78,809,n/a
87,1,2021/12/15,72,652,n/a
88,7,2022/05/12,23,725,Health Care
89,8,2022/06/15,12,573,n/a
90,4,2022/03/05,43,630,Finance
91,10,2022/06/01,16,693,Consumer Services
92,2,2022/09/23,130,73,Miscellaneous
93,5,2022/04/23,90,374,n/a
94,2,2022/02/14,41,179,Basic Industries
95,5,2022/01/19,148,700,Capital Goods
96,4,2022/03/19,77,470,Health Care
97,9,2022/09/30,85,951,Consumer Services
98,7,2022/07/06,92,445,Consumer Services
99,1,2021/11/05,74,83,Consumer Non-Durables
100,1,2022/03/06,139,569,Consumer Services
101,2,2022/02/28,70,404,n/a
102,3,2022/02/27,141,702,Basic Industries
103,2,2022/03/14,65,153,Basic Industries
104,6,2022/10/11,2,242,Energy
105,6,2021/11/08,76,671,Health Care
106,2,2022/08/11,37,572,Capital Goods
107,9,2022/07/12,91,234,Technology
108,1,2021/12/14,2,868,Finance
109,6,2022/06/03,106,329,n/a
110,2,2022/03/02,3,30,Consumer Services
111,8,2022/03/08,20,942,n/a
112,10,2022/07/03,42,923,Consumer Non-Durables
113,7,2022/09/29,137,429,Health Care
114,9,2022/06/01,105,133,Consumer Services
115,5,2022/05/07,126,282,n/a
116,3,2021/11/21,103,563,Finance
117,10,2022/07/16,109,840,Technology
118,3,2022/03/04,42,291,n/a
119,9,2022/06/28,63,119,Finance
120,3,2022/03/24,101,607,Miscellaneous
121,10,2021/12/16,83,204,n/a
122,2,2021/11/25,83,698,n/a
123,6,2021/11/02,40,800,Technology
124,6,2022/04/01,7,627,Capital Goods
125,6,2022/08/27,119,831,Finance
126,9,2022/09/18,107,836,Energy
127,3,2022/03/13,18,256,Health Care
128,5,2022/07/10,45,135,Consumer Services
129,8,2022/09/10,8,470,Consumer Services
130,4,2022/02/23,129,676,Public Utilities
131,4,2022/04/13,77,86,Health Care
132,3,2021/12/26,31,920,Technology
133,2,2022/02/20,52,222,Finance
134,6,2022/01/30,99,642,Public Utilities
135,5,2022/02/20,7,241,Consumer Durables
136,4,2022/01/06,44,124,Finance
137,7,2021/12/17,102,593,Technology
138,9,2022/01/05,123,349,Consumer Services
139,2,2022/08/08,124,249,Consumer Non-Durables
140,7,2022/05/03,63,859,Capital Goods
141,9,2021/10/27,56,186,Consumer Services
142,8,2022/07/03,15,199,Technology
143,9,2022/07/12,8,684,n/a
144,9,2022/08/05,72,528,n/a
145,8,2022/09/27,97,490,n/a
146,6,2022/07/25,137,430,Consumer Services
147,3,2022/07/23,75,657,Technology
148,1,2021/10/30,12,506,Basic Industries
149,1,2022/04/02,100,658,Finance
150,4,2022/01/19,51,25,n/a
151,9,2022/09/07,145,309,Health Care
152,6,2022/08/22,124,703,Technology
153,6,2021/12/21,26,209,Finance
154,1,2022/04/30,12,228,Consumer Services
155,3,2022/08/06,16,954,n/a
156,10,2022/06/02,59,188,Consumer Non-Durables
157,8,2022/03/14,34,850,Public Utilities
158,4,2022/04/19,133,389,Finance
159,6,2022/03/02,92,999,n/a
160,3,2022/04/26,42,682,Public Utilities
161,1,2021/11/26,95,252,Public Utilities
162,4,2021/11/04,71,439,n/a
163,6,2021/11/07,129,798,Transportation
164,9,2022/10/12,83,721,Basic Industries
165,4,2022/07/01,82,298,n/a
166,3,2021/11/25,70,857,Finance
167,6,2022/02/17,62,869,n/a
168,7,2022/03/14,18,270,Finance
169,10,2022/01/12,137,260,Health Care
170,5,2021/11/01,116,295,Finance
171,10,2022/06/29,148,133,Technology
172,4,2022/09/16,92,341,n/a
173,9,2022/09/14,9,587,Consumer Services
174,3,2022/02/20,64,99,Consumer Non-Durables
175,7,2022/01/07,2,943,n/a
176,2,2022/09/10,25,71,n/a
177,8,2022/02/14,3,300,Consumer Services
178,1,2022/08/09,69,944,Consumer Services
179,8,2021/10/27,57,172,Consumer Non-Durables
180,9,2022/03/01,57,998,n/a
